Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"SA1",
"8101301",37,30,0,34,0,0,0,4,9,113,
"8101404",50,81,0,31,0,0,0,16,20,198,
"8101406",26,41,0,27,0,0,0,3,8,112,
"8101402",57,72,0,24,0,0,0,18,14,188,
"8101403",64,98,0,44,0,0,0,8,20,227,
"8101407",64,106,0,35,0,0,0,17,12,232,
"8101405",49,53,0,36,0,0,0,8,20,160,
"8101401",22,39,0,46,0,0,0,4,9,121,
"8109404",123,84,0,57,0,0,3,17,29,312,
"8109405",77,84,0,19,0,0,0,3,15,197,
"8109406",51,63,0,85,0,0,0,11,16,221,
"8109403",29,29,0,18,0,0,0,0,6,92,
"8109401",60,60,0,14,0,0,0,3,9,156,
"8109407",59,64,0,11,0,0,0,3,6,148,
"8101511",28,45,0,13,0,0,0,8,6,102,
"8101505",71,85,0,29,0,0,0,17,10,208,
"8101506",56,63,0,48,0,0,0,4,20,198,
"8101515",59,33,3,78,0,20,0,30,19,238,
"8101501",118,93,0,70,0,0,0,9,40,339,
"8101514",0,0,0,0,0,0,0,0,0,0,
"8101513",17,31,0,86,0,0,0,13,13,157,
"8101508",44,55,0,24,0,0,0,5,11,140,
"8101510",38,59,0,25,0,0,0,11,9,142,
